Test Battle	8.774	99.599
VS Big Man	2.932	125.114
Smithy	32.149	98.197
Armstrong	33.656	160.077
Bleck	9.248	62.566
Game Over	5.73	24.014
Victory	6.071	19.694
Pursuit_AJAA	7.917	53.322
